"";"titulo";"faixa_etaria";"sinopse"
"75";"A Vida em Si";"16";"O relacionamento amoroso vivido por um casal (Oscar Isaac e Olivia Wilde), é contado através de diferentes décadas e continentes, desde as ruas de Nova York até Espanha e como diferentes pessoas acabam se conectando a ela através de um evento marcante."
"76";"A Mata Negra";"16";"Numa floresta do interior do Brasil, uma garota vê sua vida – e a de todos ao seu redor – mudar terrivelmente quando encontra o Livro Perdido de Cipriano, cuja Magia Sombria, além de outorgar poder e riqueza a quem o possui, é capaz de libertar uma terrível maldição sobre a terra."
"77";"Conquistar, Amar e Viver Intensamente";"16";"Jacques (Pierre Deladonchamps) é um escritor e dramaturgo que vive em Paris. Arthur (Vincent Lacoste) é um jovem estudando em Rennes. Eles se encontram na esquina entre um teatro e cinema. Eles vivem uma história em um período complicado dos anos 90, onde o amor paira sobre a morte e a ternura luta contra o desespero, porém, a vida continua contra todas as probabilidades."
"78";"O Manicômio";"16";"Um grupo de youtubers entra ilegalmente na área de cirurgia (supostamente assombrada) em um manicômio abandonado para um desafio de 24 horas, com a esperança de viralizar o vídeo e conseguirem mais seguidores. Porém, não demora muito para eles descobrirem que não estão sozinhos e não são bem-vindos ali. O desafio, na verdade, é o da sobrevivência. Classificação indicativa: a definir por http://www.culturadigital.br/classind."
"79";"Lizzie";"16";"1892, em plena Era Vitoriana. Lizzie Borden (Chloë Sevigny) é uma mulher solteira que ainda vive sob a rigidez de seu pai, Andrew (Jamey Sheridan), por mais que tenha atitudes consideradas ousadas para a época. Tal situação vive provocando atritos entre pai e filha, ampliados pelo frágil estado de saúde dela. Menosprezada como filha e como mulher, Lizzie aos poucos se aproxima de Bridget Sullivan (Kristen Stewart), uma jovem criada que trabalha há pouco tempo para a família."
"80";"Cafarnaum";"16";"Aos doze anos, Zain (Zain Al Rafeea) carrega uma série de responsabilidades: é ele quem cuida de seus irmãos no cortiço em que vive junto com os pais, que estão sempre ausentes graças ao trabalho em uma marcearia. Quando sua irmã de onze é forçada a se casar com um homem mais velho, o menino fica extremamente revoltado e decide deixar a família. Ele passa a viver nas ruas junto aos refugiados e outras crianças que, diferentemente dele, não chegaram lá por conta própria."
"81";"O Peso do Passado";"16";"Erin Bell (Nicole Kidman) é uma detetive da polícia norte-americana que aceita participar de um plano arriscado, infiltrando-se entre bandidos para obter informações. A estratégia dá errado, gerando uma tragédia que marca a sua vida para sempre. Anos mais tarde, ela reencontra pistas da gangue de antigamente, e volta a perseguir os responsáveis por seu drama pessoal."
"82";"Uma Nova Chance";"16";"Maya (Jennifer Lopez) é uma caixa de supermercado insatisfeita com sua vida profissional. Porém, tudo muda com uma pequena alteração em seu currículo e suas redes sociais. Com sua experiêcia das ruas, habilidades excepcionais e a ajuda de seus amigos, ela se reinventa e se torna uma executiva de sucesso."
"83";"Vergel";"16";"Em pleno verão, uma mulher brasileira (Camila Morgado) espera o corpo do seu marido que foi morto durante as férias do casal na Argentina. A burocracia é tanta e a espera tão longa que ela começa a perder a noção do tempo e o senso de realidade. O apartamento onde ela está hospedada é cheio de plantas mas ela sequer consegue cuidar delas. Até que uma vizinha (Maricel Álvarez) se oferece para ajudar a regar e a mulher encontra nessa desconhecida alguém com quem compartilhar sua dor."
"84";"A Mula";"16";"Leo Sharp coleciona uma série de honras que vão desde de prêmios por seus trabalhos como paisagista e decorador até o reconhecimento por ter lutado contra os nazistas durante a Segunda Guerra Mundial. No entanto, foi aos 90 anos que conquistou algo surpreendente: ele foi preso por portar o equivalente a três milhões de dólares em cocaína no seu carro, uma picape velha, no Michigan. Sharp era o líder do Sinaloa, um cartel de drogas no México e foi sentenciado à três anos de cadeia. A sinopse oficial ainda não foi divulgada."
"85";"Poderia Me Perdoar?";"16";"Passando por problemas financeiros, a jornalista Lee Israel decide forjar e vender cartas de personalidades já falecidas, um negócio criminoso que dá muito certo. Quando as primeiras suspeitas começam, para não parar de lucrar, ela modifica o esquema e passa a roubar os textos originais de arquivos e bibliotecas. Baseado em uma história real."
"86";"Dogman";"16";"Marcello (Marcello Fonte), um humilde funcionário  da petshop ""Dogman"", localizada na periferia de Roma, se envolveu em um dos piores crimes já registrados na história da Itália. Dominado por um sentimento de vingança incontrolável, ele decidiu torturar, durante horas, um ex boxeador que atormentava todos os moradores do bairro em que vivia."
"87";"Raiva";"16";"Nos remotos campos do Baixo Alentejo, no sul de Portugal, a miséria e a fome assolam a população. Quando dois violentos assassinatos acontecem em uma só noite, um mistério toma o lugar: qual poderia ser a origem desses crimes?"
"88";"Vingança a Sangue Frio";"16";"Nels (Liam Neeson), um tranquilo homem de família, trabalha como motorista de um removedor de neve e vê seu mundo virado de cabeça para baixo quando seu filho é morto por um poderoso traficante de drogas. Impulsionado pelo desejo de vingança e sem nada para perder, ele fará tudo o que por preciso para destruir o cartel."
"89";"Suprema";"16";"Ruth Bader Ginsburg (Felicity Jones) se formou em direito nas instituições mais prestigiosas do país: Harvard e Columbia, sempre como primeira aluna de sua turma. Mesmo assim, ela enfrentou o machismo dos anos 1950 e 1960 quando tentou encontrar emprego, sendo recusada pelos principais escritórios de advocacia. Na função de professora, ela se especializou em direito relacionado ao gênero, decidindo atacar o Estado norte-americano para derrubar centenas de leis que permitem a discriminação às mulheres."
"90";"Imagem e Palavra";"16";"Godard parte de montagens de imagens para refletir sobre aspectos do cinema e do mundo. Colando cenas de filmes, de reportagens, de vídeos caseiros e mesmo de desenhos, o cineasta aborda as funções do tempo e do espaço, utilizando em particular o caso das imagens sobre o mundo árabe de como são percebidas pelo mundo ocidental."
"91";"Mal Nosso";"16";"Arthur (Ademir Esteves) é um pai zeloso, preocupado com sua filha única, prestes a entrar na faculdade. Ele esconde um segredo desde sua juventude sobre algo que pode ser prejudicial ao futuro da jovem, e para isso contrata os serviços de um serial killer na deep web. Após fazer um acordo com o assassino, Arthur abre as portas para uma jornada mortal envolvendo psicopatas, maldições e demônios."
"92";"Gloria Bell";"16";"Uma mulher sozinha com 50 anos e espírito livre (Julianne Moore) ocupa suas noites buscando amor em boates para adultos solteiros em Los Angeles. Sua frágil felicidade muda no dia em que conhece Arnold (John Turturro). Sua intensa paixão deixa ela alternando entre esperança e desespero, até ela descobrir uma nova força e que agora, surpreendentemente, ela consegue brilhar mais do que nunca."
"93";"The Cleaners";"16";"No sombrio submundo da internet, quem é responsável por controlar o que vemos e o que pensamos? Um olhar analítico sobre a indústria virtual responsável por fazer limpezas digitais, apagando e controlando os conteúdos que ficam visíveis online."
"94";"Duas Rainhas";"16";"Mary (Saoirse Ronan), ainda criança, foi prometida ao filho mais velho do rei Henrique II, Francis, e então foi levada para França. Mas logo Francis morre e Mary volta para a Escócia, na tentativa de derrubar sua prima Elizabeth I (Margot Robbie), a Rainha da Inglaterra."
"95";"Border";"16";"Tina (Eva Melander) é uma policial que trabalha no aeroporto fiscalizando bagagens e passageiros. Depois de ser atingida por um raio na infância, ela desenvolveu uma espécie de sexto sentido, fazendo com que seja capaz de “ler as pessoas” apenas pelo o olhar. Isso sempre representou uma vantagem na sua profissão, mas tudo muda quando ela identifica um criminoso em potencial e não consegue achar provas para justificar sua intuição. Após o episódio, ela passa a questionar seu dom, ao mesmo tempo em que fica obcecada em descobrir qual o verdadeiro segredo de Vore (Eero Milonoff), seu único suspeito não legitimado."
"96";"Suspíria - A Dança do Medo";"16";"Susie Bannion (Dakota Johnson), uma jovem bailarina americana, vai para a prestigiada Markos Tanz Company, em Berlim. Ela chega assim que Patricia (Chloë Grace Moretz) desaparece misteriosamente. Tendo um progresso extraordinário, com a orientação de Madame Blanc (Tilda Swinton), Susie acaba fazendo amizade com outra dançarina, Sara (Mia Goth), que compartilha com ela todas suas suspeitas obscuras e ameaçadoras."
"97";"Horácio";"16";"Durante um único dia, diversas figuras marginalizadas se cruzam pela cidade de São Paulo: um jogador sem talento, uma prostituta sem sorte, um capanga encontrando seu amor, um chefe autoritário, a filha dele, um agiota... Entre essas pessoas, um contrabandista de 80 anos de idade (Zé Celso) entra em desespero ao descobrir que o capanga por quem está apaixonado não o ama."
"98";"O Anjo";"16";"Desde a adolescência, Carlos (Lorenzo Ferro) tem o hábito de invadir casas alheias, pelo simples prazer que o ato lhe dá. Às vezes ele leva algo para casa mas jamais para ganhar dinheiro, apenas para curtir o momento. Ao conhecer Ramón (Chino Darín) em sua nova escola, ele logo é apresentado a um universo mais profissional de crimes, já que o pai dele é veterano da área. Carlos logo se destaca pela ousadia nos crimes que comete, impulsionado pela atração que sente por Ramón. Com o tempo, a displicência com os demais faz com que cometa onze assassinatos e se torne um dos criminosos mais procurados da Argentina."
"99";"O Mau Exemplo de Cameron Post";"16";"Flagrada pelo namorado transando com a melhor amiga em pleno baile de formatura, Cameron Post (Chloe Grace Moretz) é enviada pela tia para um centro religioso que afirma curar jovens atraídos pelo mesmo sexo, mas para se submeter ou não ao suposto tratamento, a adolescente precisa antes descobrir quem é de fato."
"100";"Sobibor";"16";"Alexander Pechersky, um prisioneiro de guerra no campo de exterminação de Sobibor, organizou uma revolta que deu oportunidade para o escape em massa dos prisioneiros do campo. Apesar de muitos dos fugitivos terem sido capturados novamente, Pechersky liderou os que restaram à se juntarem aos partisans."
"101";"Organismo";"16";"Um homem recém-lesionado que está aprendendo a lidar com a condição de cadeirante entra em crise existencial após o falecimento de sua mãe, evento que o lança em uma espiral de memórias de infância, de relacionamentos passados e principalmente das percepções sobre seu corpo antes e depois do acidente."
